Scenario1ValueResponse	Scenario1ValueCode	Scenario2ValueResponse	Scenario2ValueCode	Scenario3ValueResponse	Scenario3ValueCode	Scenario4ValueResponse	Scenario4ValueCode	Scenario5ValueResponse	Scenario5ValueCode	Scenario6ValueResponse	Scenario6ValueCode
"Accountability"	"operability"	"Antiblackness/anti tech surveillance"	"Justice"	"a better understanding of correlation vs. causation and basic statistics. Also, fuck demonstrating library value at the expense of privacy"	"validity"	"supporting student interests, everything is political, personal support for prison abolition, need for diverse collections"	"Positionality"	"Security/safety - this could be dangerous and sort of threatening for the library to conduct a study in which students are asked about their immigration status. It's great for voices to be heard, but more thought needs to be put into how to do it without being harmful. "	"Beneficence"	"Equity, community"	"collaboration"
"Fiscal responsibility, and maybe something about context/complexity"	"operability"	"Aligning with University and Library policy about not violating privacy of our users."	"alignment"	"Justice and equity! Besides the privacy nightmare to which identifiable card swipes contribute, it is such an incomplete story. Library services and access are available from a distance and are often the only way non-traditional, low-income, and underrepresented students access the library. Targeting interventions to students because they don't visit the library in person contributes to inequitable treatment of students. "	"Justice"	"How would these results impact the prison abolition student group? Why would they need to know the usage of subject headings related to incarceration? It doesn't seem appropriate to be giving this one group this specific data. If the library released an analysis of all subject heading usage on their website, that would be fine."	"validity"	"Equity"	"justice"	"collaboration, humility"	"collaboration"
"a rejection of neoliberalism"	"imagining otherwise"	"a rejection of surveillance capitalism"	"imagining otherwise"	"trustworthiness, transparency, safety (who has access to this data regarding movements of students? ) desire to avoid a \"big brother is watching\" environment, right of students to be treated as adults, university should not be stalking their students."	"transparency"	"openness to new ideas, ability to innovate"	"Imagining otherwise"	"not being an asshole"	"Beneficence"	"Equity and accessibilty"	"Justice"
"anti-neoliberalism"	"imagining otherwise"	"Fiscal responsibility"	"operability"	"Institutional values"	"alignment"	"I'm a prison abolitionist, so that would come into play in how I work with the program. "	"Positionality"	"inquiry, humility"	"Justice"	"Institutional values"	"Alignment"
"Fiscal Responsibility"	"operability"	"data security"	"validity"	"Because this collects data about building use and not materials use, I am somewhat uncomfortable but ultimately would probably do it. This would also depend on administrative support and discussions within the Libraries."	"alignment"	"The notion that libraries are or can remain neutral is an illusion. Neutrality in the face of suffering and injustice prioritizes the status quo over the lives of others."	"Positionality"	"Ethical research practices"	"validity"	"collaboration, user-centric"	"collaboration"
"The library does not create or set educational outcomes;  it supports faculty who set outcomes and provides the best possible learning environment and access to resources for its students.  Methodologically, it's not feasible to control for all the variables affecting learning and to sort out which are applicable to the library and which are not."	"validity"	"transparency, practicing what we preach re: privacy literacy"	"Transparency"	"Actionability, collaboration"	"validity"	"Fostering students' construction of knowledge"	"Human-centered"	"Institutional values statement"	"alignment"	"Beneficence to persons"	"Beneficence"
"Professionalism"	"validity"	"Autonomy, partnerships, data management"	"validity"	"Legal"	"alignment"	"desire to contribute to professional literature"	"communication and outreach"	"Sticking our head in the sand about this topic would be worse"	"validity"	"Personal values of efficiency or ease"	"Positionality"
"Judgement (could be part of professionalism). I think figuring out how to tell the library's story compellingly is a matter of judgement. It's not always about using the language our stakeholders use, like ROI. "	"imagining otherwise"	"Usability, accessibility, risk management"	"human-centered"	"Student success"	"alignment"	"Libraries are not neutral"	"Positionality"	"Inclusion, equity, user-centric"	"Justice"	"Timeliness of research"	"validity"
"Institutional values statement."	"alignment"	"Ethics"	"validity"	"Institutional values of importance of learning and student support; personal value of commitment to the institution."	"alignment"	"Collaboration"	"collaboration"	"respect for individuals' time and dignity"	"human-centered"	"Community, Faith"	"collaboration"
"Sorry this isn't cleaner, but I would be thinking about what's the best use of my time. An ROI may be time intensive and give a business metric that would resonate with the leadership, but would it give me an information in order to make a change? Is ROI actionable? I think about what evidence is valued."	"validity"	"Organizational policies"	"Alignment"	"Faith, Service, Integrity"	"validity"	"social justice, humanity"	"Justice"	"Institutional priorities about what to assess and who is worthy of being assessed; personal values about students' role in assessment"	"Alignment"	""	""
"Seeing people as humans, not aggregate numbers"	"human-centered"	"Institutional values of providing the user the best possible experience"	"Alignment"	""	""	"IRB guidelines, especially those related to with people who are incarcerated "	"validity"	"student-centered, open-minded"	"human-centered"	""	""
"organizational citizenship (upholding uinverstiy mission)"	"alignment"	"informed consent"	"transparency"	""	""	"Not sure"	"Not sure"	"Community"	"collaboration"	""	""
"I see this less as a values thing and more of a logic thing"	"validity"	"Self-preservation"	"validity"	""	""	"Personal values around equity, diversity, and inclusion; personal political beliefs; institutional history of involvement in similar issues."	"Positionality"	"Justice"	"Justice"	""	""
"Institutional values about what counts as \"learning\" would be important here."	"alignment"	"Faith, Integrity,"	"validity"	""	""	"social justice, equity, representation, abolition"	"Justice"	"Beneficence"	"Beneficence"	""	""
"person-centered"	"human-centered"	"Justice (i.e. minority and at-risk groups always bear more risk in surveillance scenarios)"	"Justice"	""	""	"the library's position of neutrality\" is inconsistent with the ALA core values"	"Positionality"	""	""	""	""
"Resistance"	"imagining otherwise"	""	""	""	""	"Faith, Service"	"NA"	""	""	""	""
"Integrity, wisdom, and community"	"validity"	""	""	""	""	""	""	""	""	""	""
