Value	Code1	Code2	Code3	CodedTheme	Count
"collaborative"	"collaboration"	"collaboration"	"collaboration"	""	
"adopt a culture of assessment"	"culture"	"collaboration"	"collaboration"	""	
"collaboration"	"collaboration"	"collaboration"	"collaboration"	""	
"Collaboration"	"collaboration"	"collaboration"	"collaboration"	""	
"Community"	"collaboration"	"collaboration"	"collaboration"	""	
"Communication"	"communication"	"communication and outreach"	"communication and outreach"	""	
"Advances library communication and evidence-based librarianship by sharing and promoting its work with the library community as well as in professional circles."	"communication"	"communication and outreach"	"communication and outreach"	""	
"Instruction"	"teaching"	"communication and outreach"	"communication and outreach"	""	
"open communication"	"communication"	"communication and outreach"	"communication and outreach"	""	
"communication"	"communication"	"communication and outreach"	"communication and outreach"	""	
"Faith"	"faith"	"faith"	"faith"	""	
"Focuses on the usefulness and impact of library services on users and recommends library process changes based on its expertise and findings."	"human-centered"	"human-centered"	"human-centered"	""	
"We assist users in the creation of a wide range of scholarly materials, encouraging excellence and innovation, and supporting student success."	"service"	"human-centered"	"human-centered"	""	
"We are dedicated to excellence in customer service"	"service"	"service"	"service"	""	
"Put users first"	"human-centered"	"human-centered"	"human-centered"	""	
"put users first"	"human-centered"	"human-centered"	"human-centered"	""	
"Innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"Repurposes assessment data to support the ongoing review of library operations and tell the Library's story."	"imagining otherwise"	"imagining otherwise"	"imagining otherwise"	""	
"Purposeful Innovation"	"imagining otherwise"	"imagining otherwise"	"imagining otherwise"	""	
"Innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"We foster a climate that encourages creativity, experimentation, and adaptability."	"creativity"	"imagining otherwise"	"imagining otherwise"	""	
"Establish and support a culture of innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"Academic freedom"	"imagining otherwise"	"imagining otherwise"	"imagining otherwise"	""	
"Innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"support a culture of innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"innovation"	"innovation"	"imagining otherwise"	"imagining otherwise"	""	
"Intellectual Freedom"	"Intellectual Freedom"	"Intellectual Freedom"	"Intellectual Freedom"	""	
"Empowerment"	"power"	"justice"	"justice"	""	
"We provide a welcoming environment that is open to all in accordance with UD Library policies and diversity statement."	"diversity"	"justice"	"justice"	""	
"We provide equitable service to our diverse community of users, and in doing so we recognize, value and embrace the uniqueness of each individual."	"equity"	"justice"	"justice"	""	
"We promote an atmosphere of respect and civility as an essential part of strengthening our campus and local communities."	"respect"	"justice"	"justice"	""	
"We preserve, disseminate and provide equitable access to knowledge in a variety of forms."	"access"	"justice"	"justice"	""	
"Empathy"	"empathy"	"justice"	"justice"	""	
"Inclusivity"	"inclusion"	"justice"	"justice"	""	
"Open access to information regardless of socioeconomic class."	"justice"	"justice"	"Justice"	""	
"diversity"	"justice"	"justice"	"Justice"	""	
"equity"	"justice"	"justice"	"Justice"	""	
"This project is to cultivate a community that provides space for critique, conversation and criticality. We hope to bring anti-racist practices using critical race theory in acknowledging the structures of publishing, libraries, and reference in our work. This [review system] works towards implementing an open review system to ensure ...criticality to fights against the farce of neutrality within knowledge organizations. We value all perspectives in our organization to come together."	"justice"	"justice"	"Justice"	""	
"Empathy"	"justice"	"justice"	"Justice"	""	
"DEI"	"justice"	"justice"	"Justice"	""	
"We create a safe and supportive environment that honors the library's diverse constituencies and employees."	"justice"	"justice"	"justice"	""	
"Advance a global and diverse perspective"	"justice"	"justice"	"justice"	""	
"Diversity and inclusion"	"justice"	"justice"	"justice"	""	
"belonging"	"justice"	"justice"	"justice"	""	
"inclusiveness"	"justice"	"justice"	"justice"	""	
"diversity"	"justice"	"justice"	"justice"	""	
"Leadership"	"leadership"	"leadership"	"Leadership"	""	
"We foster lifelong learning aimed at supporting an informed and engaged citizenry."	"lifelong learning"	"lifelong learning"	"lifelong learning"	""	
"Strives to stay objective, impartial, and grounded in research and analysis."	"positionality"	"positionality"	"positionality"	""	
"grounded - strives to stay objective, impartial and grounded in research and analysis"	"positionality"	"positionality"	"positionality"	""	
"privacy"	"privacy"	"privacy"	"Privacy"	""	
"Respect"	"respect"	"respect"	"human-centered"	""	
"Respect"	"respect"	"respect"	"human-centered"	""	
"Integrity and mutual respect"	"respect"	"respect"	"Validity"	""	
"Unparalleled service"	"service"	"service"	"service"	""	
"speed"	"service"	"service"	"service"	""	
"responsive"	"service"	"service"	"service"	""	
"service"	"service"	"service"	"service"	""	
"service"	"service"	"service"	"service"	""	
"Service"	"service"	"service"	"service"	""	
"sutainability"	"sustainability"	"sustainability"	"sustainability"	""	
"openness"	"open"	"transparency"	"Transparency"	""	
"Openness"	"open"	"transparency"	"Transparency"	""	
"We are strong advocates for honesty, transparency, accountability, and openness."	"transparency"	"transparency"	"transparency"	""	
"Wisdom"	"wisdom"	"wisdom"	"wisdom"	""	
